# x[mm]	L[um]	t[s]	stress[Pa]
1.426727383518507253e+00	7.389056098930649341e+02	1.054216867469878922e-02	-6.507022081597635220e-16
1.447109203283057477e+00	7.389056098930649341e+02	1.069277108433734289e-02	-0.000000000000000000e+00
1.467491023047607701e+00	7.389056098930649341e+02	1.084337349397589828e-02	6.507022081597635220e-16
1.487872842812157703e+00	7.389056098930649341e+02	1.099397590361445194e-02	-6.507022081597635220e-16
1.508254662576707705e+00	7.389056098930649341e+02	1.114457831325300560e-02	-0.000000000000000000e+00
1.528636482341257929e+00	7.389056098930649341e+02	1.129518072289156100e-02	-0.000000000000000000e+00
1.549018302105808154e+00	7.389056098930649341e+02	1.144578313253011639e-02	6.507022081597635220e-16
1.569400121870358156e+00	7.389056098930649341e+02	1.159638554216867005e-02	-6.507022081597635220e-16
1.589781941634908158e+00	7.389056098930649341e+02	1.174698795180722372e-02	-0.000000000000000000e+00
1.610163761399458382e+00	7.389056098930649341e+02	1.189759036144578085e-02	-0.000000000000000000e+00
1.630545581164008606e+00	7.389056098930649341e+02	1.204819277108433624e-02	6.507022081597635220e-16
1.650927400928558608e+00	7.389056098930649341e+02	1.219879518072288990e-02	-6.507022081597635220e-16
1.671309220693108610e+00	7.389056098930649341e+02	1.234939759036144356e-02	-0.000000000000000000e+00
1.691691040457658834e+00	7.389056098930649341e+02	1.249999999999999896e-02	6.507022081597635220e-16
1.712072860222208837e+00	7.389056098930649341e+02	1.265060240963855262e-02	-6.507022081597635220e-16
1.732454679986759061e+00	7.389056098930649341e+02	1.280120481927710628e-02	-0.000000000000000000e+00
1.752836499751309063e+00	7.389056098930649341e+02	1.295180722891566168e-02	-0.000000000000000000e+00
1.773218319515859287e+00	7.389056098930649341e+02	1.310240963855421707e-02	6.507022081597635220e-16
1.793600139280409289e+00	7.389056098930649341e+02	1.325301204819277073e-02	-6.507022081597635220e-16
1.813981959044959513e+00	7.389056098930649341e+02	1.340361445783132439e-02	-0.000000000000000000e+00
1.834363778809509515e+00	7.389056098930649341e+02	1.355421686746987979e-02	6.507022081597635220e-16
1.854745598574059517e+00	7.389056098930649341e+02	1.370481927710843345e-02	-6.507022081597635220e-16
1.875127418338609742e+00	7.389056098930649341e+02	1.385542168674698711e-02	-0.000000000000000000e+00
1.895509238103159966e+00	7.389056098930649341e+02	1.400602409638554424e-02	-0.000000000000000000e+00
1.915891057867709968e+00	7.389056098930649341e+02	1.415662650602409964e-02	6.507022081597635220e-16
